id,X,Y,M,V
2800,-256.6355,-40.422806,106.26689,0.40349725
2801,321.4108,-285.0462,87.270424,0.3932639
2802,-233.78618,124.76422,25.748636,0.3499255
2803,151.00652,267.2458,25.493689,0.4029157
2804,-152.30135,191.10841,124.281425,0.40855223
2805,230.40387,-136.27592,48.126434,0.56686366
2806,-189.55035,237.07599,110.92543,0.80037534
2807,-205.28488,-319.407,36.714214,0.77252954
2808,-168.76396,114.835495,179.98581,0.29834053
2809,115.94047,376.55545,50.899277,0.8465955
2810,63.69836,115.043465,127.063545,0.9072218
2811,-224.15338,261.55026,85.429855,0.20173845
2812,217.93993,314.74796,99.78213,0.5105354
2813,-28.745647,-6.3910346,49.66766,0.21066704
2814,-38.970234,-147.93892,39.564743,0.8442574
2815,-312.99368,-279.67633,110.64437,0.9190926
2816,12.103943,-247.76517,49.247044,0.66182595
2817,-53.92553,-158.16043,161.869,0.36926436
2818,16.216076,262.55722,82.151146,0.7158604
2819,192.58792,-256.71948,131.43123,0.396309
2820,232.79967,-369.62088,78.59325,0.76305544
2821,-317.4124,-19.09498,91.7068,0.20215344
2822,337.052,157.58852,39.90124,0.42350364
2823,325.15472,-140.84813,109.95647,0.66670805
2824,295.3988,-319.79156,48.89474,0.92791927
2825,226.67467,-384.63434,56.30417,0.49412218
2826,202.22809,205.73708,60.29631,0.63217556
2827,221.4533,192.27907,125.95452,0.45710722
2828,332.7479,152.47136,155.30936,0.7565991
2829,-107.55631,390.95013,85.72786,0.40976018
2830,250.33119,-51.20958,57.697964,0.3962442
2831,-155.2664,150.76553,96.26562,0.9095331
2832,363.88647,-296.1907,44.86117,0.6602679
2833,-342.44757,-178.6102,134.87341,0.48864532
2834,211.87506,-316.32245,123.37081,0.9029139
2835,-154.15038,-10.786136,100.59275,0.5916517
2836,-386.8032,286.23178,142.99861,0.38583064
2837,111.3449,392.6925,91.47302,0.31476426
2838,-150.22392,-257.63928,143.07413,0.2039771
2839,-147.6644,322.82413,97.15294,0.44742936
2840,375.45422,245.20705,131.44354,0.51221246
2841,3.607456,-283.03568,41.497192,0.5811718
2842,-103.344826,308.4754,165.00722,0.80290234
2843,-386.745,-300.46304,62.384064,0.40517053
2844,-338.51746,313.52045,97.928345,0.300862
2845,127.57041,-165.35068,25.270016,0.2585695
2846,144.3514,-327.9626,65.19352,0.2012313
2847,283.5312,-203.30914,104.22167,0.68052
2848,119.66424,56.386517,157.72575,0.44182858
2849,302.88504,8.083757,145.3647,0.21225756
2850,-324.135,-15.334516,59.990955,0.28743377
2851,368.03592,-123.535965,93.4506,0.84140074
2852,-319.48462,-200.12318,61.852455,0.2111594
2853,364.26447,-300.48883,44.96268,0.56591654
2854,-398.44318,37.805973,116.20648,0.7642132
2855,-286.68814,261.6302,169.50336,0.5921103
2856,-324.7008,-278.11234,139.9099,0.40954977
2857,269.89474,-107.46184,117.40523,0.54521203
2858,-140.74365,167.84073,99.08161,0.84340274
2859,-32.765987,-139.41049,78.56994,0.63172877
2860,-339.9394,122.04558,36.91008,0.2280622
2861,378.7122,47.935394,130.82642,0.65215534
2862,77.367256,44.79402,96.05606,0.9548017
2863,-308.3619,325.37387,140.64392,0.6024386
2864,-288.32187,-46.334217,24.633514,0.45799065
2865,393.77203,-282.01016,71.327896,0.82693547
2866,168.07112,-85.27447,137.27458,0.51334584
2867,318.64624,191.45969,111.79726,0.39398715
2868,99.39843,-112.93065,59.7452,0.6719442
2869,46.4929,78.34467,24.968266,0.8411704
2870,-276.26465,-187.0339,163.09741,0.6205889
2871,-131.8616,12.729593,74.85733,0.20278558
2872,-333.61972,-70.368,130.19455,0.22922046
2873,139.52681,-391.5645,148.61378,0.65456754
2874,89.83469,-118.0046,111.56038,0.3646636
2875,-170.74658,-308.7633,65.11085,0.9190667
2876,11.706608,-300.37173,128.58614,0.24627459
2877,200.47878,204.96548,80.958595,0.36148837
2878,-151.24922,-235.309,25.369753,0.44195375
2879,285.06,287.5714,77.09586,0.20264429
2880,387.47955,-249.0834,140.74438,0.38857278
2881,-327.85968,12.585063,119.380806,0.5745711
2882,-285.92526,251.18134,154.89377,0.90268505
2883,-205.93153,-34.916092,156.14969,0.6170353
2884,358.49103,194.83253,101.694984,0.56974244
2885,122.271454,-127.43076,118.39129,0.6752323
2886,184.30914,-307.0539,100.82799,0.4170707
2887,-237.06657,42.055737,148.87909,0.8474123
2888,-176.95178,198.46764,104.918724,0.32696062
