id,X,Y,M,V
2800,-253.02705,-40.72656,107.04202,0.40585795
2801,317.24838,-285.3745,95.141426,0.41650477
2802,-234.50468,118.775536,26.432138,0.3465344
2803,165.3568,267.4315,25.68287,0.37393337
2804,-170.45457,187.621,127.21225,0.41210377
2805,244.62973,-140.04037,47.42733,0.5274803
2806,-212.16501,241.8241,107.85819,0.77743644
2807,-207.12129,-317.17395,33.37768,0.766299
2808,-176.1726,108.52196,176.26703,0.3527346
2809,124.10172,376.56262,52.71324,0.86125046
2810,60.599762,107.652885,124.908066,0.9409497
2811,-228.28062,251.51094,85.44787,0.1946071
2812,228.39049,314.75928,102.388016,0.5292978
2813,-10.335754,-7.9371243,50.948524,0.19553842
2814,-41.996098,-166.47363,40.054176,0.8819532
2815,-314.60327,-270.59937,114.583275,0.9565566
2816,18.136393,-245.27954,49.999508,0.6291534
2817,-57.285797,-173.64465,155.1927,0.4039313
2818,17.198679,277.21466,82.90253,0.7142406
2819,179.25522,-260.62476,130.66945,0.4031916
2820,233.37555,-375.19757,78.20498,0.78213847
2821,-311.8174,-23.37781,91.50979,0.19516607
2822,345.83566,149.69731,44.05442,0.42105132
2823,329.1301,-129.30339,108.38671,0.68175876
2824,287.53918,-320.13052,49.939926,0.9486372
2825,232.36775,-378.12216,54.80363,0.4569669
2826,208.27129,213.25633,59.851727,0.6157757
2827,223.85263,199.18512,122.40023,0.5175407
2828,349.88666,159.8161,153.66013,0.7848084
2829,-108.45058,398.57693,88.94932,0.4244079
2830,234.22661,-37.95573,56.687313,0.40547478
2831,-153.90692,136.80234,95.73141,0.9285858
2832,349.73517,-291.50482,45.1788,0.62432736
2833,-347.8642,-178.99777,128.55711,0.46109262
2834,212.65085,-314.60187,128.42453,0.97643614
2835,-157.68092,-15.929008,102.56155,0.6044458
2836,-384.28162,276.5746,140.42574,0.40196982
2837,128.47588,389.441,89.68235,0.332906
2838,-150.69753,-267.21017,146.83414,0.1986051
2839,-157.84488,330.95358,94.58616,0.4752369
2840,370.84937,241.61778,135.15427,0.52244747
2841,0.0075572096,-275.81906,43.33492,0.5693249
2842,-112.69149,313.90714,161.34665,0.8166955
2843,-389.26645,-292.037,64.40968,0.40453264
2844,-346.13263,311.75558,96.40317,0.3144089
2845,120.60075,-161.54558,25.247028,0.2545452
2846,142.01686,-323.00577,65.52393,0.19791473
2847,268.0669,-205.60867,108.90192,0.6475022
2848,121.285095,52.86046,156.13057,0.5042964
2849,299.80325,21.414948,144.92415,0.20072629
2850,-321.1393,-17.711874,59.424583,0.2472057
2851,381.0081,-111.60535,93.206894,0.82083493
2852,-325.34015,-198.89027,66.33756,0.20123713
2853,358.97763,-294.67297,44.01667,0.50374615
2854,-392.5558,43.074783,107.99319,0.7430797
2855,-289.57913,251.39023,161.93364,0.5767241
2856,-315.0832,-280.437,140.21208,0.41045988
2857,257.32,-101.30202,113.928,0.5645681
2858,-148.03473,170.83096,101.08811,0.83379114
2859,-42.76638,-155.30554,76.591675,0.606853
2860,-342.23965,111.902016,37.128418,0.21631178
2861,382.62878,54.241814,131.66606,0.6436281
2862,66.51156,39.36473,95.80257,0.93618953
2863,-326.01752,318.38745,135.44037,0.60838854
2864,-293.49817,-50.657112,25.205477,0.4771663
2865,396.0653,-281.6968,73.99753,0.792824
2866,162.11067,-77.19664,135.72324,0.5569583
2867,322.90692,190.00107,111.42151,0.40945417
2868,97.83646,-116.17103,59.306816,0.640062
2869,40.641644,73.88843,25.521553,0.8175102
2870,-272.5652,-179.42342,168.60751,0.5900488
2871,-132.03316,6.3834767,74.10098,0.19575918
2872,-328.9033,-84.78818,129.28091,0.22686182
2873,131.33908,-393.9395,147.68538,0.67310727
2874,82.55696,-117.72229,107.917915,0.38509107
2875,-164.1727,-317.83896,64.24259,0.9556537
2876,5.4674244,-302.1535,128.79608,0.27631682
2877,213.77544,210.36952,82.62315,0.38840926
2878,-144.65488,-238.59793,24.95202,0.42559996
2879,296.6544,293.5135,77.62223,0.19301434
2880,395.59222,-254.80322,142.35748,0.40576997
2881,-330.77643,17.885414,117.32528,0.58462214
2882,-279.14084,242.97661,154.57352,0.9286881
2883,-215.5864,-18.963392,154.76395,0.60796106
2884,352.42578,190.78517,106.76666,0.6059053
2885,114.58271,-129.97774,115.76243,0.7241797
2886,183.57886,-302.77258,106.402,0.42740142
2887,-240.72673,33.475613,148.12152,0.85314304
2888,-186.83556,195.40053,105.29536,0.3606722
2889,367.54166,-16.928802,116.51211,0.36941144
2890,307.3405,-35.278976,79.494286,0.8641183
2891,87.07836,220.1944,29.72179,0.7044287
2892,-16.870806,-35.432304,79.996414,0.39721903
2893,-315.03653,-317.81534,124.016685,0.23020403
2894,-227.19608,-317.8407,88.72313,0.5852258
