id,hhb,hbo2,ca,na
10000,8.376439742458679,4.002757523657635,8.802044773144077,3.165172608985
10001,8.381133765659385,4.092135663663698,8.950244348507383,3.172675949909412
10002,8.448604154067938,4.035598864457823,9.39378332502564,3.2539071252840466
10003,8.494978693855073,4.148756027418703,8.808465534858053,3.2567046766297336
10004,7.735014072968894,4.048243920817473,9.103582454024465,3.067753541316993
10005,8.392889381206757,3.9347546213579223,9.035651289059265,3.1009946775559007
10006,7.8005784816387544,4.0961136552123545,9.129155801616053,3.0521859485097402
10007,7.788210185351404,3.9736363696224712,8.858369910045768,3.1125387891278318
10008,8.129375894986982,4.054449780204726,9.165822078469132,3.00071939831745
10009,8.049068047000667,4.018091473353944,8.7781895785197,2.980738365284746
10010,8.3621357552068,4.001341072220678,9.298369582455276,3.0773212928972935
10011,8.754643193437694,3.9759348444461757,7.902922859803983,3.159485174475581
10012,8.191919650174231,4.096146842750196,9.362824981526108,3.0400920627138968
10013,8.025790957653884,3.962182565245323,9.086369328566484,3.0868612368566493
10014,7.957583178542866,4.185715405327187,9.231118307781417,2.795794845367087
10015,7.958221367841264,3.9580811724821165,9.224495231000336,3.022995066396321
10016,8.932410116334294,3.868233574773306,9.138959685601268,3.0338987514918627
10017,8.549853344094949,4.046631736663804,8.782402657584013,2.918574475154621
10018,7.908955833327317,3.8582412906458754,8.811454397287646,3.149543660810734
10019,8.763126320761282,4.062359363604971,9.179376432417419,3.0287118200366403
10020,7.766671246938881,3.8393263217121594,8.957799754906693,3.2001902553460675
10021,8.459188353337035,4.0282435033703665,9.22518133913241,3.025404791301829
10022,8.42839244431636,4.061386862344056,9.361554757418675,3.0207541710841936
10023,7.970688786952045,3.9688766449876822,8.568670898196547,3.195492452904322
10024,7.40677828438142,3.9090391822751953,8.959582970582067,3.061034016711883
10025,8.040572455844776,3.958645259713402,9.028235169136842,3.1610939383056587
10026,8.218221300482018,4.120737594815467,7.843924092827154,2.853393842079392
10027,7.67402380668676,3.9684605631587364,8.828642383166876,3.160786957264226
10028,7.549664251363866,3.877840877506756,8.924650170361478,2.971602906151289
10029,7.620647583124515,3.904777736861848,8.79040813769942,3.2148460983414555
10030,7.667849545597377,4.087388487855856,8.849324833985794,3.1251019015457775
10031,7.96023820027811,3.986763538631511,8.917414284858314,3.1921810436689335
10032,8.168323763643437,3.8926336690813996,9.238940331301587,3.294483017518255
10033,8.419256113479776,4.215685607078454,8.940386651430021,3.22766402015669
10034,8.85593233586007,4.135737330456317,8.860460845749918,3.3624076525538094
10035,8.264944324134959,4.059583928476958,9.12055199071721,3.037402848468423
10036,8.214234350262192,4.119804591442962,9.531677281283809,2.989967189377775
10037,7.900855515122709,4.078266474386428,8.690510820185489,2.96840057067837
